id,type,text1,text2,text3,text4,text5,notes
pdlaser,WEAPON,"Small laser designed for missile and fighter defense, with great tracking capability, decent damage and short range. Effective against missiles, fighters, and ship armor.

Simplicity, reliability and low flux costs characterize this ubiquitous point-defense weapon. The laser is built around a carbon dioxide gain medium combined with a short range marker beam. A simple one stage lens assembly with no moving parts permits the weapon to operate for extended periods without maintenance procedures. Low damage has prompted the creation of the ""Pray [it's a] Dud"" Laser backronym.",,,,,
lrpdlaser,WEAPON,"Point defense Laser-Coupled Particle Beam, delivering light energy damage at long range. Precise particle steering safely enables firing over friendly ships, allowing many ships to overlap defensive fire. The beam delivers minor EMP damage, disabling fragile systems with prolonged fire. Most effective withen used en masse to offset low damage output.


An additional lens assembly eliminates self-diffusing particles from a standard carbon dioxide beam fired at a wavelength of eleven microns. The extended range permits the otherwise low wattage to have a greater impact on the targets. Particularly useful in destroying missiles headed for a shielded target - a standard point defense laser generally doesn't have the range to extend far enough past the defensive shields of the ship it is supposed to protect.",,,,,
phasebeam,WEAPON,"A medium-range, short-duration beam that causes heavy damage in a burst. Effective against ship armor, fighters, and stressed shields.

This weapon is, at base, simply a laser beam with a tripled sapphire gain medium to ensure the highest possible weaponized wavelengths. The photons are fired through a hyperdimensional filter which outputs an energy beam that exists partially in p-space. The physics of the filter are not properly understood, and in laboratory settings the p-space components of a beam exceeding 6.66 giga-watts will sometimes flicker - as if blocked. Weapon mounts never use such high energy levels to ensure reliability.",,,,,
warthog,SHIP,"Boasting superb armor and impressive firepower, the Warthog one of the few fighters able to directly engage warships. Poor agility and lack of standard decoy flares limit its effectiveness when deployed alone.",,,,,
talon,SHIP,"Fast and cheap, the Talon sports surprising firepower and is capable of dispatching enemy fighters and ordnance. It can also deal appreciable damage to larger ships when used en masse, though such use usually results in heavy pilot losses.",,,,,
flash,SHIP,"An autonomous AI fighter-bomber, the Flash carries an advanced phase proximity charge payload which employs the principles of the phase cloak to destructive ends. The barrage of proximity charges easily clears a path through escorts and point defense, but struggles to defeat hardened targets without support.",,,,,
devastator,WEAPON,"Essentially a rapid-fire capital-sized flak cannon, the Devastator was developed by the Domain Armada using generic parts in response to a rebellious world which managed to acquire an extensive set of fighter LPCs. Highly effective against massed targets, the long reload between bursts presents an opening for enemy ordnance if unsupported.

Three barrels launch a rapid barrage of explosive projectiles. The rapid rate of fire produces such a volume of munitions that the proximity detectors become somewhat unreliable, setting themselves off at seemingly random range. The margin of error was deemed acceptable after spectacular field results.

A single salvo from the Devastator can eliminate a fighter wing or flight of missiles, though the shells are of only limited use against larger or more distant targets.",,,,,
gazer,WEAPON,"The Gazer DEM fills a previously empty niche, offering ships with missile mounts a long range anti-shield option. After a close encounter to gain appropriate targeting data, a Gazer withdraws to a standoff distance and fires a specialized Graviton Beam for an extended duration. Firerate declines in extended engagements due to an undersized autoloader, somewhat ofset by the missiles' durability and tricky attack profile.

Reception of the Gazer is as split: some commanders consider this an elegant weapon from a more civilized age, others, a design which compromises raw firepower for finicky guidance and targeting systems.",,,,,
gazerpod,WEAPON,"The Gazer DEM fills a previously empty niche, offering ships with missile mounts a long range anti-shield option. After a close encounter to gain appropriate targeting data, a Gazer withdraws to a standoff distance and fires a specialized Graviton Beam for an extended duration. Firerate declines in extended engagements due to an undersized autoloader, somewhat ofset by the missiles' durability and tricky attack profile.

Reception of the Gazer is as split: some commanders consider this an elegant weapon from a more civilized age, others, a design which compromises raw firepower for finicky guidance and targeting systems.",,,,,
squall,WEAPON,"Medium-range anti-shield missile system. The Squall fires a rapid salvo of capacitive missiles which discharge when striking their target, disrupting shields and shipboard electronics alike. The missile's extreme speed makes them difficult targets for most point defence, though their effect against armor is negligible. Unlike most missile systems, the Squall's projetiles must be charged by the ship's reactor at significant flux cost.

Anti-shield missiles intended to be used in the opening round of a combat encounter to disable the shields of an unwary opponent, opening up an opportunity for high-damage anti-armor projectiles to be deployed in the immediate aftermath of the Squall salvo.

Interchangeable missile pods were designed to allow for ease of rapid reloading of the impressive 20-shot Squall salvo, but the high mass of the pods and finicky mechanicals of the missile autoloaders make the process unwieldy and the timing falls somewhat below the original Domain Armada specifications. Nonetheless, the Squall is a terrifying weapon system when deployed against shield-reliant combatants as it forces a captain with insufficient point defense system to deactivate their shields or submit to high shield flux which may lead to overload. ",,,,,
locust,WEAPON,"Build around a specialized forge unit, the Locust rapidly assembles and launches SRMs equipped with a similar guidence system to the common Swarmer. The barrage easily overwhelmes fighters and ordnance, but has limited effect against large warships unless armor and shields are breached. Missile assembly pauses intermittently, as feed material is drawn from internal stockpiles.

The Locust launches bursts of thirty small missiles per salvo. Robust, low-power individual tracking systems are coordinated by a distributed swarm intelligence system to enable excellent tracking of targets, while chemical microthrusters provide maneuverability for a short time. Tried and true targeting algorithms based on the old standby Swarmer missile systems allow Locusts to miss only rarely. The Locust has rightly earned a place in the nightmares of fighter pilots.",,,,,
lux,SHIP,"An autonomous AI heavy fighter, the Lux is armed with an overcharged Graviton Beam and a flare system designed to confuse opposing point defense systems. Best used to open a path for strikes against heavy targets and to suppress the shields of smaller ships.",,,,,
vulcan,WEAPON,"A rapid fire ballistic point-defense weapon system especially devastating to missiles and fighters at short range. The extreme cyclic rate gives slightly charges each projectile, giving the weapon a mild EMP effect. Accuracy degrades sharply during prolonged bursts of fire. 

This multi-barrel weapon platform is built around an advanced timing mechanism most commonly manufactured by Hegemony-authorized nanoforges. Rounds are typically tipped with depleted uranium and are non explosive. Multiple barrels enable an extremely high rate of fire, though at a high flux cost.",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
